quality1,quality2,quality3,data_id,Building_name,config_type,Selling_price,Monthly_Rent,price_per_sqft,lat,longt,platform,city,listing_date,txn_type,property_type,locality,Bua_sqft,Status,listing_by,name_lister,Details,address,price_on_req,sublocality,age,google_place_id,Possession,Launch_date,mobile_lister,areacode,management_by_landlord,carpet_area,updated_date
1,,1,5252492,Bliss,3BHK,24806250.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,12/17/2014 11:12:37,sale,Apartment,central mumbai,2025,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,1187,07/07/2016 05:12:45
1,,1,5283615,Bliss,3BHK,25112500.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,06/01/2015 09:24:16,sale,Apartment,central mumbai,2050,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,1193,07/07/2016 05:12:45
1,,1,5252497,Bliss,4BHK,39812500.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,12/17/2014 11:12:37,sale,Apartment,central mumbai,3250,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,1904,07/07/2016 05:12:45
1,,1,5252499,Bliss,5BHK,49000000.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,12/17/2014 11:12:37,sale,Apartment,central mumbai,4000,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,2355,07/07/2016 05:12:45
0,,1,5072568,Planet,2BHK,0,0,30897.8723,18.9809742,72.83106995,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,mumbai south,1350,Completed,godrej properties,None,None,"Mahalaxmi, Mumbai",true,Mahalaxmi,None,None,08/30/2010 18:30:00,,None,50047,None,0,03/22/2016 09:21:27
0,,1,5219041,Planet,2BHK,0,0,30897.8723,18.9809742,72.83106995,tigerprop,Mumbai,06/30/2014 11:33:27,sale,Apartment,mumbai south,1454,Completed,godrej properties,None,None,"Mahalaxmi, Mumbai",true,Mahalaxmi,None,None,08/30/2010 18:30:00,,None,50047,None,0,03/22/2016 09:21:27
0,,1,5072569,Planet,3BHK,0,0,30897.8723,18.9809742,72.83106995,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,mumbai south,1770,Completed,godrej properties,None,None,"Mahalaxmi, Mumbai",true,Mahalaxmi,None,None,08/30/2010 18:30:00,,None,50047,None,0,03/22/2016 09:21:27
0,,1,5219042,Planet,3BHK,0,0,30897.8723,18.9809742,72.83106995,tigerprop,Mumbai,06/30/2014 11:33:27,sale,Apartment,mumbai south,1900,Completed,godrej properties,None,None,"Mahalaxmi, Mumbai",true,Mahalaxmi,None,None,08/30/2010 18:30:00,,None,50047,None,0,03/22/2016 09:21:27
0,,1,5219043,Planet,4BHK,0,0,30897.8723,18.9809742,72.83106995,tigerprop,Mumbai,06/30/2014 11:33:27,sale,Apartment,mumbai south,3154,Completed,godrej properties,None,None,"Mahalaxmi, Mumbai",true,Mahalaxmi,None,None,08/30/2010 18:30:00,,None,50047,None,0,03/22/2016 09:21:27
0,,1,5219044,Planet,4BHK,0,0,30897.8723,18.9809742,72.83106995,tigerprop,Mumbai,06/30/2014 11:33:27,sale,Apartment,mumbai south,3475,Completed,godrej properties,None,None,"Mahalaxmi, Mumbai",true,Mahalaxmi,None,None,08/30/2010 18:30:00,,None,50047,None,0,03/22/2016 09:21:27
0,,1,5320225,Bellissimo,3BHK,0,0,30897.8723,18.98719406,72.82820129,tigerprop,Mumbai,10/26/2015 11:29:07,sale,Apartment,mumbai south,2394,Completed,Lodha,None,None,"N.M. Joshi Marg, Mahalaxmi, Mumbai",true,Mahalaxmi,None,None,05/31/2012 18:30:00,,None,50047,None,1709,03/22/2016 09:21:27
