city,listing_id,listing_date,property_subtype,sqft,locality,configtype,platform,Selling_Price,txn_type,property_type,listing_by,Building_Name
Mumbai,4330438,05/14/2016,Apartments / Flats,1290,Goregaon East,2 BHK,Sulekha,20000000.0,Sale,Residential,Shakeel,Jp deck
Mumbai,4377634,05/27/2016,Apartments / Flats,612,Kandivali East,1 BHK,Sulekha,6500000.0,Sale,Residential,vinay singh,The Windsor
Mumbai,4290887,06/27/2016,Apartments / Flats,565,Badlapur East,1 BHK,Sulekha,1836000.0,Sale,Residential,S V Enterprises,Himanshu Astavinayak Vastu Prakalp
Mumbai,4085165,05/20/2016,Apartments / Flats,915,Dahisar East,2 BHK,Sulekha,9800000.0,Sale,Residential,geeta estate agency,
Mumbai,4277072,06/07/2016,Apartments / Flats,918,Dombivali East,2 BHK,Sulekha,6700000.0,Sale,Residential,Amit Mansukhani,Palava
Mumbai,4630895,06/17/2016,Apartments / Flats,1065,,2 BHK,Sulekha,6300000.0,Sale,Residential,Sujit Jha,
Mumbai,4291824,06/27/2016,Apartments / Flats,675,Goregaon East,1 BHK,Sulekha,9800000.0,Sale,Residential,Nilesh,
Mumbai,4082198,06/24/2016,Apartments / Flats,976,Goregaon East,2 BHK,Sulekha,13300000.0,Sale,Residential,Maa Sharda Enterprises,Omkar Ananta
Mumbai,4531790,05/17/2016,Apartments / Flats,1506,Kandivali East,3 BHK,Sulekha,25500000.0,Sale,Residential,SKY HOUSING   MR awdhesh,
Mumbai,4520985,05/12/2016,Apartments / Flats,1500,Dahisar East,3 BHK,Sulekha,12000000.0,Sale,Residential,Sharma Estate Agency,Darvesh Horizon
Mumbai,4580589,06/23/2016,Apartments / Flats,665,Badlapur West,1 BHK,Sulekha,2200000.0,Sale,Residential,Chetan Arun Ranadhir,Panvelkar Heights
Mumbai,4489626,07/02/2016,Apartments / Flats,560,Nalasopara West,1 BHK,Sulekha,2128000.0,Sale,Residential,vasturupee property,
Mumbai,4415959,06/30/2016,Apartments / Flats,650,Badlapur East,1 BHK,Sulekha,1855000.0,Sale,Residential,Sudhir Ghorpade,Priyam
